ID,Membrshp Start Dt,Membrshp End Dt,Role,SPORT,years_org,
443732,9/1/2021,5/1/2022,Member,ACHE,0.6630136986,
444733,9/1/2021,,Varsity,ACHE,-121.7534247,
446899,8/1/2023,,Varsity,ACHE,-123.6684932,
447349,9/1/2021,12/1/2021,Member,ACHE,0.2493150685,
448224,12/1/2021,5/1/2022,Varsity,ACHE,0.4136986301,
451941,8/1/2023,,Varsity,ACHE,-123.6684932,
452503,9/1/2021,12/1/2021,Member,ACHE,0.2493150685,
452505,9/1/2021,5/1/2022,Member,ACHE,0.6630136986,
456058,9/1/2021,12/1/2022,Varsity,ACHE,1.249315068,
456846,9/1/2022,5/1/2023,Varsity,ACHE,0.6630136986,
457099,9/1/2022,5/1/2024,Varsity,ACHE,1.665753425,
459193,9/1/2022,5/1/2024,Varsity,ACHE,1.665753425,
459594,9/1/2022,12/1/2022,Member,ACHE,0.2493150685,
459870,9/1/2022,5/1/2024,Varsity,ACHE,1.665753425,
460329,12/1/2024,,Member,ACHE,-125.0054795,
461961,9/1/2022,5/1/2023,Varsity,ACHE,0.6630136986,
465286,9/1/2022,5/1/2023,Varsity,ACHE,0.6630136986,
473062,8/1/2023,,Varsity,ACHE,-123.6684932,
473980,8/1/2023,,Member,ACHE,-123.6684932,
474378,1/1/2023,,Varsity,ACHE,-123.0876712,
475586,8/1/2023,12/1/2023,Member,ACHE,0.3342465753,
475970,8/1/2023,,Varsity,ACHE,-123.6684932,
476515,8/1/2023,,Varsity,ACHE,-123.6684932,
482304,8/1/2023,,Varsity,ACHE,-123.6684932,
493508,9/1/2024,,Member,ACHE,-124.7561644,
493961,9/1/2024,,Member,ACHE,-124.7561644,
498864,9/1/2024,,Member,ACHE,-124.7561644,
498974,9/1/2024,,Member,ACHE,-124.7561644,
511256,1/1/2025,,Member,ACHE,-125.090411,
275176,9/1/2024,,Member,ADAN,-124.7561644,
284655,9/1/2021,,Varsity,ADAN,-121.7534247,
295965,9/1/2021,5/1/2024,Varsity,ADAN,2.665753425,
307960,12/1/2021,5/1/2022,Member,ADAN,0.4136986301,
